2022-04-02 23:28:41 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .header_user_info]
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-02 23:28:41 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-02 23:28:41 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: SubmitLogin]
2022-04-02 23:28:43 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: SubmitLogin]
2022-04-02 23:28:43 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-02 23:28:43 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .sf-with-ul]
2022-04-02 23:28:44 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .sf-with-ul]
2022-04-02 23:28:44 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-02 23:28:44 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .product_img_link]
2022-04-02 23:28:44 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: .product_img_link]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:28:45 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: #add_to_cart]
2022-04-02 23:28:45 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: #add_to_cart]
2022-04-02 23:28:45 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-02 23:28:45 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (2a46f002dcfeb9b6e3b653956bce9ede)] -> css selector: a[class='btn btn-default button button-medium']]
